post_id,date,platform,angle,format,impressions,likes,comments,reposts,saves,link_clicks,profile_visits
2026-06-30-chennai-drop,2026-06-30,instagram,price_drop,static,4200,189,47,31,86,142,63
2026-07-01-plot-velachery,2026-07-01,linkedin,cheapest,static,1800,32,6,4,9,28,14
2026-07-02-evaluate-flood,2026-07-02,instagram,evaluate,reel,6100,410,88,120,240,190,110
2026-07-03-closing-soon-trichy,2026-07-03,x,closing_soon,static,900,11,2,1,3,9,5
2026-07-04-city-carousel-cbe,2026-07-04,instagram,cheapest,carousel,3300,120,19,14,52,74,40
2026-07-06-drop-sarjapur,2026-07-06,instagram,price_drop,static,3900,150,38,26,70,120,55
2026-07-07-educate-emd,2026-07-07,linkedin,educate,static,2100,64,22,12,31,40,26
2026-07-08-evaluate-metro,2026-07-08,instagram,evaluate,reel,7400,520,102,160,300,220,140
2026-07-09-closing-madurai,2026-07-09,x,closing_soon,static,750,8,1,0,2,6,3
2026-07-10-cheapest-salem,2026-07-10,instagram,cheapest,carousel,2900,98,15,10,44,60,33
